Key	English	Czech	German	Spanish	French	Hungarian	Italian	Japanese	Korean	Polish	Portuguese	Russian	Thai	Turkish	Ukrainian	Chinese (Simple)	Chinese (Traditional)
	en-US	cs-CS	de-DE	es-ES	fr-FR	hu-HU	it-IT	ja-JP	ko-KR	pl-PL	pt-BR	ru-RU	th-TH	tr-TR	uk-UA	zh-CN	zh-Hant
GenericPopup_Header	Something went wrong!	Něco se pokazilo!	Etwas ist schief gelaufen!	¡Algo salió mal!	Quelque chose s'est mal passé !	Valami elromlott!	Qualcosa è andato storto!	何か問題が発生しました!	문제가 발생했습니다.	Coś poszło nie tak!	Algo deu errado!	Что-то пошло не так!	มีบางอย่างผิดพลาด!	Bir şeyler ters gitti!	Щось пішло не так!	出了问题！	出了問題！
GenericPopup_Description	Check logs for more information	Další informace naleznete v protokolech	Weitere Informationen finden Sie in den Protokollen	Consulte los registros para obtener más información.	Consultez les journaux pour plus d'informations	További információkért ellenőrizze a naplókat	Controlla i log per ulteriori informazioni	詳細についてはログを確認してください	자세한 내용은 로그를 확인하세요.	Sprawdź dzienniki, aby uzyskać więcej informacji	Verifique os registros para obter mais informações	Проверьте журналы для получения дополнительной информации	ตรวจสอบบันทึกเพื่อดูข้อมูลเพิ่มเติม	Daha fazla bilgi için günlükleri kontrol edin	Перевірте журнали для отримання додаткової інформації	检查日志以获取更多信息	檢查日誌以獲取更多信息
GenericPopup_ExceptionDescription	{0}\n\nAn exception occurred:\n{1}	{0}\n\nDošlo k výjimce:\n{1}	{0}\n\nEine Ausnahme ist aufgetreten:\n{1}	{0}\n\nSe produjo una excepción:\n{1}	{0}\n\nUne exception s'est produite :\n{1}	{0}\n\nKivétel történt:\n{1}	{0}\n\nSi è verificata un'eccezione:\n{1}	{0}\n\n例外が発生しました:\n{1}	{0}\n\n예외가 발생했습니다.\n{1}	{0}\n\nWystąpił wyjątek:\n{1}	{0}\n\nOcorreu uma exceção:\n{1}	{0}\n\nПроизошло исключение:\n{1}	{0}\n\nมีข้อยกเว้นเกิดขึ้น:\n{1}	{0}\n\nBir istisna oluştu:\n{1}	{0}\n\nСталася виняткова ситуація:\n{1}	{0}\n\n发生异常：\n{1}	{0}\n\n發生異常：\n{1}
GenericPopup_ContinueAtRisk	Continue the game where some content may not work.	Pokračujte ve hře, kde některý obsah nemusí fungovat.	Setzen Sie das Spiel fort, wenn einige Inhalte möglicherweise nicht funktionieren.	Continúe el juego donde es posible que algunos contenidos no funcionen.	Continuez le jeu là où certains contenus peuvent ne pas fonctionner.	Folytassa a játékot ott, ahol bizonyos tartalmak nem működnek.	Continua il gioco laddove alcuni contenuti potrebbero non funzionare.	一部のコンテンツが動作しない可能性がある場合でもゲームを続行してください。	일부 콘텐츠가 작동하지 않을 수 있는 게임을 계속하세요.	Kontynuuj grę, w której część zawartości może nie działać.	Continue o jogo onde algum conteúdo pode não funcionar.	Продолжите игру, где некоторый контент может не работать.	เล่นเกมต่อโดยที่เนื้อหาบางส่วนอาจไม่ทำงาน	Bazı içeriklerin çalışmayabileceği oyuna devam edin.	Продовжуйте гру, де певний вміст може не працювати.	继续游戏，其中某些内容可能无法运行。	繼續遊戲，其中某些內容可能無法運作。
GenericPopup_QuitGameAndDisableMod	Close the game and disable the affected mod.	Zavřete hru a deaktivujte postižený mod.	Schließe das Spiel und deaktiviere den betroffenen Mod.	Cierra el juego y desactiva el mod afectado.	Fermez le jeu et désactivez le mod concerné.	Zárja be a játékot, és tiltsa le az érintett modot.	Chiudi il gioco e disabilita la mod interessata.	ゲームを閉じて、影響を受ける MOD を無効にします。	게임을 닫고 영향을 받는 모드를 비활성화하세요.	Zamknij grę i wyłącz modyfikację, której dotyczy problem.	Feche o jogo e desative o mod afetado.	Закройте игру и отключите затронутый мод.	ปิดเกมและปิดการใช้งาน mod ที่ได้รับผลกระทบ	Oyunu kapatın ve etkilenen modu devre dışı bırakın.	Закрийте гру та вимкніть відповідний мод.	关闭游戏并禁用受影响的模组。	關閉遊戲並停用受影響的模組。
GenericPopup_YouHaveXOptions	You have {0} options	Máte {0} možností	Sie haben {0} Optionen	Tienes {0} opciones	Vous avez {0} options	{0} lehetőséged van	Hai {0} opzioni	{0} 個のオプションがあります	{0}개의 옵션이 있습니다	Masz {0} opcji	Você tem {0} opções	У вас есть {0} вариантов	คุณมี {0} ตัวเลือก	{0} seçeneğiniz var	У вас є {0} варіантів	您有 {0} 个选项	您有 {0} 個選項
OptionsUI_ModsTab_Text	Mods	Mods	Mods	Modificaciones	Mods	Mods	Mod	改造	모드	Mody	Modificações	Моды	ม็อด	Modlar	Моди	模组	模組
GUID	GUID	GUID	GUID	GUID	GUID	GUID	GUIDA	GUID	GUID	GUID	GUIA	ГУИД	แนวทาง	GUID	GUID	GUID	GUID
Dependencies	Dependencies	Závislosti	Abhängigkeiten	Dependencias	Dépendances	Függőségek	Dipendenze	依存関係	종속성	Zależności	Dependências	Зависимости	การพึ่งพาอาศัยกัน	Bağımlılıklar	Залежності	依赖关系	依賴關係
Wrong_Version	Wrong Version	Špatná verze	Falsche Version	Versión incorrecta	Mauvaise version	Rossz verzió	Versione sbagliata	間違ったバージョン	잘못된 버전	Zła wersja	Versão errada	Неправильная версия	ผิดเวอร์ชัน	Yanlış Sürüm	Неправильна версія	版本错误	版本錯誤
Missing	Missing	Chybějící	Fehlen	Desaparecido	Manquant	Hiányzó	Mancante	ない	없어진	Zaginiony	Ausente	Отсутствующий	หายไป	Eksik	Відсутня	丢失的	遺失的
